节点编号,X坐标（米）,Y坐标（米）,Z坐标（米）,计算Z的坐标（米）,差距（米）
D360,-79.3916,-214.5950,-194.6436,-206.3769,11.7333
B371,228.6254,9.1930,-194.6436,-206.3768,11.7332
E360,-228.6254,9.1930,-194.6436,-206.3768,11.7332
B360,190.3650,126.9460,-194.6436,-206.3768,11.7332
E371,-190.3650,126.9460,-194.6436,-206.3768,11.7332
A360,-61.9066,220.2770,-194.6436,-206.3763,11.7327
A371,61.9066,220.2770,-194.6436,-206.3763,11.7327
D301,0.0000,-228.6250,-194.8607,-206.5283,11.6676
C301,217.4355,-70.6490,-194.8607,-206.5281,11.6674
E301,-217.4355,-70.6490,-194.8607,-206.5281,11.6674
B301,134.3825,184.9620,-194.8607,-206.5279,11.6672
A301,-134.3825,184.9620,-194.8607,-206.5279,11.6672
C370,88.6987,-209.8830,-195.7587,-207.1561,11.3974
D361,-88.6987,-209.8830,-195.7587,-207.1561,11.3974
C361,172.2020,-149.2150,-195.7587,-207.1555,11.3968
D370,-172.2020,-149.2150,-195.7587,-207.1555,11.3968
B370,227.0208,19.5000,-195.7587,-207.1554,11.3967
E361,-227.0208,19.5000,-195.7587,-207.1554,11.3967
B361,195.1254,117.6640,-195.7587,-207.1553,11.3966
E370,-195.1254,117.6640,-195.7587,-207.1553,11.3966
A361,-51.6079,221.9360,-195.7587,-207.1549,11.3962
A370,51.6079,221.9360,-195.7587,-207.1549,11.3962
C348,39.8240,-223.7760,-196.4137,-207.6151,11.2014
D330,-39.8240,-223.7760,-196.4137,-207.6151,11.2014
C330,200.5177,-107.0250,-196.4137,-207.6150,11.2013
D348,-200.5177,-107.0250,-196.4137,-207.6150,11.2013
B348,225.1303,-31.2750,-196.4137,-207.6148,11.2011
E330,-225.1303,-31.2750,-196.4137,-207.6148,11.2011
B330,163.7507,157.6310,-196.4137,-207.6148,11.2011
E348,-163.7507,157.6310,-196.4137,-207.6148,11.2011
A330,-99.3142,204.4470,-196.4137,-207.6147,11.2010
A348,99.3142,204.4470,-196.4137,-207.6147,11.2010
C362,164.6126,-156.4360,-196.6479,-207.7798,11.1319
D369,-164.6126,-156.4360,-196.6479,-207.7798,11.1319
C369,97.9122,-204.8970,-196.6479,-207.7797,11.1318
D362,-97.9122,-204.8970,-196.6479,-207.7797,11.1318
A362,-41.2231,223.3170,-196.6479,-207.7793,11.1314
A369,41.2231,223.3170,-196.6479,-207.7793,11.1314
B369,225.1257,29.8040,-196.6479,-207.7792,11.1313
E362,-225.1257,29.8040,-196.6479,-207.7792,11.1313
B362,199.6483,108.2150,-196.6479,-207.7791,11.1312
E369,-199.6483,108.2150,-196.6479,-207.7791,11.1312
C368,106.9824,-199.6660,-197.3021,-208.2408,10.9387
D363,-106.9824,-199.6660,-197.3021,-208.2408,10.9387
C363,156.8349,-163.4460,-197.3021,-208.2407,10.9386
D368,-156.8349,-163.4460,-197.3021,-208.2407,10.9386
B363,203.9117,98.6510,-197.3021,-208.2403,10.9382
E368,-203.9117,98.6510,-197.3021,-208.2403,10.9382
B368,222.9537,40.0460,-197.3021,-208.2403,10.9382
E363,-222.9537,40.0460,-197.3021,-208.2403,10.9382
A363,-30.8105,224.4170,-197.3021,-208.2398,10.9377
A368,30.8105,224.4170,-197.3021,-208.2398,10.9377
B325,218.2426,-60.4720,-197.3661,-208.2856,10.9195
E302,-218.2426,-60.4720,-197.3661,-208.2856,10.9195
C325,9.9276,-226.2480,-197.3661,-208.2856,10.9195
D302,-9.9276,-226.2480,-197.3661,-208.2856,10.9195
C302,212.1070,-79.3560,-197.3661,-208.2855,10.9194
D325,-212.1070,-79.3560,-197.3661,-208.2855,10.9194
A302,-124.9537,188.8740,-197.3661,-208.2854,10.9193
A325,124.9537,188.8740,-197.3661,-208.2854,10.9193
B302,141.0170,177.2040,-197.3661,-208.2850,10.9189
E325,-141.0170,177.2040,-197.3661,-208.2850,10.9189
C364,147.3329,-171.2040,-198.0459,-208.7665,10.7206
D367,-147.3329,-171.2040,-198.0459,-208.7665,10.7206
C367,117.2968,-193.0270,-198.0459,-208.7662,10.7203
D364,-117.2968,-193.0270,-198.0459,-208.7662,10.7203
B364,208.3535,87.2170,-198.0459,-208.7661,10.7202
E367,-208.3535,87.2170,-198.0459,-208.7661,10.7202
B367,219.8263,51.9080,-198.0459,-208.7660,10.7201
E364,-219.8263,51.9080,-198.0459,-208.7660,10.7201
A364,-18.5633,225.1080,-198.0459,-208.7657,10.7198
A367,18.5633,225.1080,-198.0459,-208.7657,10.7198
C347,49.8486,-220.0270,-198.3516,-208.9829,10.6313
D331,-49.8486,-220.0270,-198.3516,-208.9829,10.6313
C331,193.8541,-115.4010,-198.3516,-208.9828,10.6312
D347,-193.8541,-115.4010,-198.3516,-208.9828,10.6312
B347,224.6623,-20.5830,-198.3516,-208.9828,10.6312
E331,-224.6623,-20.5830,-198.3516,-208.9828,10.6312
A331,-89.0003,207.3060,-198.3516,-208.9828,10.6312
A347,89.0003,207.3060,-198.3516,-208.9828,10.6312
B331,169.6570,148.7060,-198.3516,-208.9825,10.6309
E347,-169.6570,148.7060,-198.3516,-208.9825,10.6309
C366,127.5302,-186.0790,-198.3699,-208.9962,10.6263
D365,-127.5302,-186.0790,-198.3699,-208.9962,10.6263
C365,137.5632,-178.7900,-198.3699,-208.9959,10.6260
D366,-137.5632,-178.7900,-198.3699,-208.9959,10.6260
A365,-6.2008,225.5020,-198.3699,-208.9957,10.6258
A366,6.2008,225.5020,-198.3699,-208.9957,10.6258
B366,216.3812,63.7870,-198.3699,-208.9957,10.6258
E365,-216.3812,63.7870,-198.3699,-208.9957,10.6258
B365,212.5489,75.5820,-198.3699,-208.9956,10.6257
E366,-212.5489,75.5820,-198.3699,-208.9956,10.6257
C324,19.9310,-223.2670,-199.9862,-210.1477,10.1615
D303,-19.9310,-223.2670,-199.9862,-210.1477,10.1615
B324,218.4992,-50.0380,-199.9862,-210.1472,10.1610
E303,-218.4992,-50.0380,-199.9862,-210.1472,10.1610
C303,206.1812,-87.9490,-199.9862,-210.1471,10.1609
D324,-206.1812,-87.9490,-199.9862,-210.1471,10.1609
A303,-115.1089,192.3430,-199.9862,-210.1468,10.1606
A324,115.1089,192.3430,-199.9862,-210.1468,10.1606
B303,147.3579,168.9130,-199.9862,-210.1467,10.1605
E324,-147.3579,168.9130,-199.9862,-210.1467,10.1605
C346,59.8079,-215.9890,-200.0295,-210.1784,10.1489
D332,-59.8079,-215.9890,-200.0295,-210.1784,10.1489
B346,223.8997,-9.8630,-200.0295,-210.1782,10.1487
E332,-223.8997,-9.8630,-200.0295,-210.1782,10.1487
C332,186.9364,-123.6250,-200.0295,-210.1782,10.1487
D346,-186.9364,-123.6250,-200.0295,-210.1782,10.1487
B332,175.3409,139.5850,-200.0295,-210.1781,10.1486
E346,-175.3409,139.5850,-200.0295,-210.1781,10.1486
A332,-78.5697,209.8940,-200.0295,-210.1776,10.1481
A346,78.5697,209.8940,-200.0295,-210.1776,10.1481
C333,179.8676,-131.6490,-201.3856,-211.1520,9.7664
D345,-179.8676,-131.6490,-201.3856,-211.1520,9.7664
C345,69.6243,-211.7460,-201.3856,-211.1518,9.7662
D333,-69.6243,-211.7460,-201.3856,-211.1518,9.7662
B345,222.8977,0.7840,-201.3856,-211.1516,9.7660
E333,-222.8977,0.7840,-201.3856,-211.1516,9.7660
B333,180.7885,130.3830,-201.3856,-211.1513,9.7657
E345,-180.7885,130.3830,-201.3856,-211.1513,9.7657
A333,-68.1341,212.2310,-201.3856,-211.1512,9.7656
A345,68.1341,212.2310,-201.3856,-211.1512,9.7656
C323,29.9348,-219.9980,-202.3478,-211.8469,9.4991
D304,-29.9348,-219.9980,-202.3478,-211.8469,9.4991
B323,218.4816,-39.5130,-202.3478,-211.8464,9.4986
E304,-218.4816,-39.5130,-202.3478,-211.8464,9.4986
C304,199.9809,-96.4530,-202.3478,-211.8463,9.4985
D323,-199.9809,-96.4530,-202.3478,-211.8463,9.4985
A304,-105.0943,195.5780,-202.3478,-211.8463,9.4985
A323,105.0943,195.5780,-202.3478,-211.8463,9.4985
B304,153.5298,160.3880,-202.3478,-211.8460,9.4982
E323,-153.5298,160.3880,-202.3478,-211.8460,9.4982
C344,79.3510,-207.2300,-202.4824,-211.9441,9.4617
D334,-79.3510,-207.2300,-202.4824,-211.9441,9.4617
C334,172.5671,-139.5050,-202.4824,-211.9438,9.4614
D344,-172.5671,-139.5050,-202.4824,-211.9438,9.4614
B344,221.6087,11.4300,-202.4824,-211.9437,9.4613
E334,-221.6087,11.4300,-202.4824,-211.9437,9.4613
B334,186.0034,121.0120,-202.4824,-211.9435,9.4611
E344,-186.0034,121.0120,-202.4824,-211.9435,9.4611
A334,-57.6107,214.2950,-202.4824,-211.9432,9.4608
A344,57.6107,214.2950,-202.4824,-211.9432,9.4608
D277,0.0000,-221.7470,-202.6525,-212.0677,9.4152
C277,210.8947,-68.5230,-202.6525,-212.0673,9.4148
E277,-210.8947,-68.5230,-202.6525,-212.0673,9.4148
B277,130.3401,179.3980,-202.6525,-212.0669,9.4144
A277,-130.3401,179.3980,-202.6525,-212.0669,9.4144
C343,88.6243,-202.3980,-203.5209,-212.6981,9.1772
D335,-88.6243,-202.3980,-203.5209,-212.6981,9.1772
C335,165.1060,-146.8310,-203.5209,-212.6979,9.1770
D343,-165.1060,-146.8310,-203.5209,-212.6979,9.1770
B343,219.8788,21.7430,-203.5209,-212.6977,9.1768
E335,-219.8788,21.7430,-203.5209,-212.6977,9.1768
A335,-47.2682,215.8360,-203.5209,-212.6977,9.1768
A343,47.2682,215.8360,-203.5209,-212.6977,9.1768
B335,190.6654,111.6520,-203.5209,-212.6977,9.1768
E343,-190.6654,111.6520,-203.5209,-212.6977,9.1768
C342,97.7892,-197.3180,-204.3104,-213.2741,8.9637
D336,-97.7892,-197.3180,-204.3104,-213.2741,8.9637
C336,157.4428,-153.9780,-204.3104,-213.2735,8.9631
D342,-157.4428,-153.9780,-204.3104,-213.2735,8.9631
B342,217.8798,32.0290,-204.3104,-213.2735,8.9631
E336,-217.8798,32.0290,-204.3104,-213.2735,8.9631
B336,195.0942,102.1560,-204.3104,-213.2733,8.9629
E342,-195.0942,102.1560,-204.3104,-213.2733,8.9629
A336,-36.8679,217.1140,-204.3104,-213.2730,8.9626
A342,36.8679,217.1140,-204.3104,-213.2730,8.9626
C322,39.8834,-216.4640,-204.4326,-213.3631,8.9305
D305,-39.8834,-216.4640,-204.4326,-213.3631,8.9305
C305,193.5452,-104.8220,-204.4326,-213.3630,8.9304
D322,-193.5452,-104.8220,-204.4326,-213.3630,8.9304
B322,218.1945,-28.9590,-204.4326,-213.3629,8.9303
E305,-218.1945,-28.9590,-204.4326,-213.3629,8.9303
B305,159.5009,151.6810,-204.4326,-213.3625,8.9299
E322,-159.5009,151.6810,-204.4326,-213.3625,8.9299
A305,-94.9682,198.5670,-204.4326,-213.3623,8.9297
A322,94.9682,198.5670,-204.4326,-213.3623,8.9297
C341,108.1843,-190.8400,-205.2221,-213.9418,8.7197
D337,-108.1843,-190.8400,-205.2221,-213.9418,8.7197
C337,148.0696,-161.8620,-205.2221,-213.9415,8.7194
D341,-148.0696,-161.8620,-205.2221,-213.9415,8.7194
B341,214.9311,43.9170,-205.2221,-213.9412,8.7191
E337,-214.9311,43.9170,-205.2221,-213.9412,8.7191
B337,199.6963,90.8050,-205.2221,-213.9411,8.7190
E341,-199.6963,90.8050,-205.2221,-213.9411,8.7190
A337,-24.6505,217.9830,-205.2221,-213.9409,8.7188
A341,24.6505,217.9830,-205.2221,-213.9409,8.7188
C300,10.0048,-218.9450,-205.4338,-214.0969,8.6631
D278,-10.0048,-218.9450,-205.4338,-214.0969,8.6631
B300,211.3210,-58.1420,-205.4338,-214.0968,8.6630
E278,-211.3210,-58.1420,-205.4338,-214.0968,8.6630
C278,205.1377,-77.1730,-205.4338,-214.0967,8.6629
D300,-205.1377,-77.1730,-205.4338,-214.0967,8.6629
B278,136.7868,171.2500,-205.4338,-214.0966,8.6628
E300,-136.7868,171.2500,-205.4338,-214.0966,8.6628
A278,-120.5988,183.0120,-205.4338,-214.0961,8.6623
A300,120.5988,183.0120,-205.4338,-214.0961,8.6623
C340,118.3985,-184.0430,-205.7908,-214.3597,8.5689
D338,-118.3985,-184.0430,-205.7908,-214.3597,8.5689
C338,138.4488,-169.4760,-205.7908,-214.3595,8.5687
D340,-138.4488,-169.4760,-205.7908,-214.3595,8.5687
B340,211.6231,55.7310,-205.7908,-214.3593,8.5685
E338,-211.6232,55.7310,-205.7908,-214.3592,8.5684
B338,203.9646,79.3020,-205.7908,-214.3591,8.5683
E340,-203.9646,79.3020,-205.7908,-214.3591,8.5683
A338,-12.3918,218.4880,-205.7908,-214.3588,8.5680
A340,12.3918,218.4880,-205.7908,-214.3588,8.5680
C339,128.5331,-176.9100,-205.9661,-214.4887,8.5226
D339,-128.5331,-176.9100,-205.9661,-214.4887,8.5226
B339,207.9709,67.5740,-205.9661,-214.4883,8.5222
E339,-207.9709,67.5740,-205.9661,-214.4883,8.5222
A339,0.0000,218.6740,-205.9661,-214.4880,8.5219
C321,49.8905,-212.6040,-206.2772,-214.7183,8.4411
D306,-49.8905,-212.6040,-206.2772,-214.7183,8.4411
C306,186.7822,-113.1470,-206.2772,-214.7178,8.4406
D321,-186.7822,-113.1470,-206.2772,-214.7178,8.4406
B321,217.6162,-18.2490,-206.2772,-214.7177,8.4405
E306,-217.6162,-18.2490,-206.2772,-214.7177,8.4405
B306,165.3283,142.6760,-206.2772,-214.7177,8.4405
E321,-165.3283,142.6760,-206.2772,-214.7177,8.4405
A306,-84.6037,201.3260,-206.2772,-214.7176,8.4404
A321,84.6037,201.3260,-206.2772,-214.7176,8.4404
C320,59.7327,-208.5320,-207.8136,-215.8555,8.0419
D307,-59.7327,-208.5320,-207.8136,-215.8555,8.0419
C307,179.8676,-121.2490,-207.8136,-215.8554,8.0418
D320,-179.8676,-121.2490,-207.8136,-215.8554,8.0418
B320,216.7844,-7.6300,-207.8136,-215.8553,8.0417
E307,-216.7844,-7.6300,-207.8136,-215.8553,8.0417
B307,170.8969,133.5970,-207.8136,-215.8550,8.0414
E320,-170.8969,133.5970,-207.8136,-215.8550,8.0414
A307,-74.2474,203.8170,-207.8136,-215.8547,8.0411
A320,74.2474,203.8170,-207.8136,-215.8547,8.0411
C299,19.9967,-215.8620,-207.9516,-215.9580,8.0064
D279,-19.9967,-215.8620,-207.9516,-215.9580,8.0064
B299,211.4763,-47.6870,-207.9516,-215.9580,8.0064
E279,-211.4763,-47.6870,-207.9516,-215.9580,8.0064
C279,199.1177,-85.7230,-207.9516,-215.9580,8.0064
D299,-199.1177,-85.7230,-207.9516,-215.9580,8.0064
A279,-110.7029,186.3900,-207.9516,-215.9579,8.0063
A299,110.7029,186.3900,-207.9516,-215.9579,8.0063
B279,143.0582,162.8830,-207.9516,-215.9576,8.0060
E299,-143.0582,162.8830,-207.9516,-215.9576,8.0060
C319,69.5233,-204.1870,-209.0792,-216.7993,7.7201
D308,-69.5233,-204.1870,-209.0792,-216.7993,7.7201
C308,172.7100,-129.2180,-209.0792,-216.7989,7.7197
D319,-172.7100,-129.2180,-209.0792,-216.7989,7.7197
A308,-63.7729,206.0560,-209.0792,-216.7989,7.7197
A319,63.7729,206.0560,-209.0792,-216.7989,7.7197
B319,215.6778,3.0240,-209.0792,-216.7989,7.7197
E308,-215.6778,3.0240,-209.0792,-216.7989,7.7197
B308,176.2640,124.3270,-209.0792,-216.7986,7.7194
E319,-176.2640,124.3270,-209.0792,-216.7986,7.7194
C309,165.3544,-137.0110,-210.0616,-217.5356,7.4740
D318,-165.3544,-137.0110,-210.0616,-217.5356,7.4740
C318,79.2087,-199.6000,-210.0616,-217.5354,7.4738
D309,-79.2087,-199.6000,-210.0616,-217.5354,7.4738
B318,214.3080,13.6520,-210.0616,-217.5352,7.4736
E309,-214.3080,13.6520,-210.0616,-217.5352,7.4736
A309,-53.2410,208.0380,-210.0616,-217.5350,7.4734
A318,53.2410,208.0380,-210.0616,-217.5350,7.4734
B309,181.4033,114.9230,-210.0616,-217.5350,7.4734
E318,-181.4033,114.9230,-210.0616,-217.5350,7.4734
C254,204.1016,-66.3160,-210.2018,-217.6408,7.4390
E254,-204.1016,-66.3160,-210.2018,-217.6408,7.4390
D254,0.0000,-214.6050,-210.2018,-217.6407,7.4389
C298,29.9630,-212.5020,-210.2029,-217.6415,7.4386
D280,-29.9630,-212.5020,-210.2029,-217.6415,7.4386
C280,192.8425,-94.1630,-210.2029,-217.6415,7.4386
D298,-192.8425,-94.1630,-210.2029,-217.6415,7.4386
B298,211.3606,-37.1700,-210.2029,-217.6414,7.4385
E280,-211.3606,-37.1700,-210.2029,-217.6414,7.4385
B280,149.1462,154.3060,-210.2029,-217.6414,7.4385
E298,-149.1462,154.3060,-210.2029,-217.6414,7.4385
B254,126.1417,173.6200,-210.2018,-217.6401,7.4383
A254,-126.1417,173.6200,-210.2018,-217.6401,7.4383
A280,-100.6651,189.5300,-210.2029,-217.6411,7.4382
A298,100.6651,189.5300,-210.2029,-217.6411,7.4382
C317,88.4452,-194.6660,-211.0036,-218.2450,7.2414
D310,-88.4452,-194.6660,-211.0036,-218.2450,7.2414
C310,157.8079,-144.2710,-211.0036,-218.2449,7.2413
D317,-157.8079,-144.2710,-211.0036,-218.2449,7.2413
B317,212.4700,23.9610,-211.0036,-218.2446,7.2410
E310,-212.4700,23.9610,-211.0036,-218.2446,7.2410
B310,185.9758,105.5020,-211.0036,-218.2445,7.2409
E317,-185.9758,105.5020,-211.0036,-218.2445,7.2409
A310,-42.8685,209.4760,-211.0036,-218.2441,7.2405
A317,42.8685,209.4760,-211.0036,-218.2441,7.2405
C311,148.5636,-152.2500,-212.1054,-219.0787,6.9733
D316,-148.5636,-152.2500,-212.1054,-219.0787,6.9733
C316,98.8905,-188.3400,-212.1054,-219.0785,6.9731
D311,-98.8905,-188.3400,-212.1054,-219.0785,6.9731
A311,-30.6997,210.4970,-212.1054,-219.0782,6.9728
A316,30.6997,210.4970,-212.1054,-219.0782,6.9728
B316,209.6813,35.8500,-212.1054,-219.0782,6.9728
E311,-209.6813,35.8500,-212.1054,-219.0782,6.9728
B311,190.7078,94.2450,-212.1054,-219.0780,6.9726
E316,-190.7078,94.2450,-212.1054,-219.0780,6.9726
C297,39.8909,-208.8690,-212.1846,-219.1389,6.9543
D281,-39.8909,-208.8690,-212.1846,-219.1389,6.9543
C281,186.3200,-102.4820,-212.1846,-219.1386,6.9540
D297,-186.3200,-102.4820,-212.1846,-219.1386,6.9540
B297,210.9739,-26.6050,-212.1846,-219.1384,6.9538
E281,-210.9739,-26.6050,-212.1846,-219.1384,6.9538
B281,155.0429,145.5320,-212.1846,-219.1383,6.9537
E297,-155.0429,145.5320,-212.1846,-219.1383,6.9537
A281,-90.4982,192.4270,-212.1846,-219.1379,6.9533
A297,90.4982,192.4270,-212.1846,-219.1379,6.9533
C312,139.0570,-160.0030,-212.8429,-219.6391,6.7962
D315,-139.0570,-160.0030,-212.8429,-219.6391,6.7962
B315,206.5473,47.7100,-212.8429,-219.6387,6.7958
E312,-206.5473,47.7100,-212.8429,-219.6387,6.7958
C315,109.2016,-181.6950,-212.8429,-219.6387,6.7958
D312,-109.2016,-181.6950,-212.8429,-219.6387,6.7958
B312,195.1436,82.8080,-212.8429,-219.6384,6.7955
E315,-195.1436,82.8080,-212.8429,-219.6384,6.7955
A312,-18.4516,211.1820,-212.8429,-219.6382,6.7953
A315,18.4516,211.1820,-212.8429,-219.6382,6.7953
C276,10.0062,-211.6990,-212.8926,-219.6771,6.7845
D255,-10.0062,-211.6990,-212.8926,-219.6771,6.7845
C255,198.2464,-74.9350,-212.8926,-219.6765,6.7839
D276,-198.2464,-74.9350,-212.8926,-219.6765,6.7839
B276,204.4306,-55.9020,-212.8926,-219.6765,6.7839
E255,-204.4306,-55.9020,-212.8926,-219.6765,6.7839
B255,132.5292,165.3880,-212.8926,-219.6760,6.7834
E276,-132.5292,165.3880,-212.8926,-219.6760,6.7834
A255,-116.3388,177.1510,-212.8926,-219.6760,6.7834
A276,116.3388,177.1510,-212.8926,-219.6760,6.7834
C313,129.3471,-167.4810,-213.2121,-219.9203,6.7082
D314,-129.3471,-167.4810,-213.2121,-219.9203,6.7082
C314,119.3140,-174.7710,-213.2121,-219.9200,6.7079
D313,-119.3140,-174.7710,-213.2121,-219.9200,6.7079
B313,199.2549,71.2620,-213.2121,-219.9199,6.7078
E314,-199.2549,71.2620,-213.2121,-219.9199,6.7078
A313,-6.2008,211.5240,-213.2121,-219.9198,6.7077
A314,6.2008,211.5240,-213.2121,-219.9198,6.7077
B314,203.0872,59.4680,-213.2121,-219.9198,6.7077
E313,-203.0872,59.4680,-213.2121,-219.9198,6.7077
C296,49.7676,-204.9690,-213.8944,-220.4415,6.5471
D282,-49.7676,-204.9690,-213.8944,-220.4415,6.5471
C282,179.5586,-110.6700,-213.8944,-220.4415,6.5471
D296,-179.5586,-110.6700,-213.8944,-220.4415,6.5471
B296,210.3167,-16.0070,-213.8944,-220.4411,6.5467
E282,-210.3167,-16.0070,-213.8944,-220.4411,6.5467
A282,-80.2153,195.0770,-213.8944,-220.4408,6.5464
A296,80.2153,195.0770,-213.8944,-220.4408,6.5464
B282,160.7409,136.5720,-213.8944,-220.4407,6.5463
E296,-160.7409,136.5720,-213.8944,-220.4407,6.5463
C275,20.0144,-208.5050,-215.3254,-221.5399,6.2145
D256,-20.0144,-208.5050,-215.3254,-221.5399,6.2145
C256,192.1158,-83.4660,-215.3254,-221.5396,6.2142
D275,-192.1158,-83.4660,-215.3254,-221.5396,6.2142
B275,204.4854,-45.3970,-215.3254,-221.5394,6.2140
E256,-204.4854,-45.3970,-215.3254,-221.5394,6.2140
A256,-106.3645,180.4490,-215.3254,-221.5393,6.2139
A275,106.3645,180.4490,-215.3254,-221.5393,6.2139
B256,138.7485,156.9210,-215.3254,-221.5391,6.2137
E275,-138.7485,156.9210,-215.3254,-221.5391,6.2137
C295,59.5805,-200.8060,-215.3300,-221.5435,6.2135
D283,-59.5805,-200.8060,-215.3300,-221.5435,6.2135
C283,172.5671,-118.7170,-215.3300,-221.5430,6.2130
D295,-172.5671,-118.7170,-215.3300,-221.5430,6.2130
B295,209.3899,-5.3880,-215.3300,-221.5430,6.2130
E283,-209.3899,-5.3880,-215.3300,-221.5430,6.2130
B283,166.2329,127.4360,-215.3300,-221.5427,6.2127
E295,-166.2329,127.4360,-215.3300,-221.5427,6.2127
A283,-69.8295,197.4770,-215.3300,-221.5427,6.2127
A295,69.8295,197.4770,-215.3300,-221.5427,6.2127
C294,69.3171,-196.3860,-216.4895,-222.4386,5.9491
D284,-69.3171,-196.3860,-216.4895,-222.4386,5.9491
C284,165.3544,-126.6110,-216.4895,-222.4384,5.9489
D294,-165.3544,-126.6110,-216.4895,-222.4384,5.9489
B294,208.1947,5.2380,-216.4895,-222.4384,5.9489
E284,-208.1947,5.2380,-216.4895,-222.4384,5.9489
B284,171.5117,118.1370,-216.4895,-222.4381,5.9486
E294,-171.5117,118.1370,-216.4895,-222.4381,5.9486
A284,-59.3543,199.6240,-216.4895,-222.4380,5.9485
A294,59.3543,199.6240,-216.4895,-222.4380,5.9485
C293,78.9648,-191.7140,-217.3715,-223.1229,5.7514
D285,-78.9648,-191.7140,-217.3715,-223.1229,5.7514
C285,157.9296,-134.3430,-217.3715,-223.1227,5.7512
D293,-157.9296,-134.3430,-217.3715,-223.1227,5.7512
B293,206.7326,15.8570,-217.3715,-223.1227,5.7512
E285,-206.7326,15.8570,-217.3715,-223.1227,5.7512
B285,176.5707,108.6860,-217.3715,-223.1226,5.7511
E293,-176.5707,108.6860,-217.3715,-223.1226,5.7511
A285,-48.8029,201.5150,-217.3715,-223.1223,5.7508
A293,48.8029,201.5150,-217.3715,-223.1223,5.7508
C274,29.9728,-205.0440,-217.4825,-223.2092,5.7267
D257,-29.9728,-205.0440,-217.4825,-223.2092,5.7267
C257,185.7466,-91.8680,-217.4825,-223.2090,5.7265
D274,-185.7466,-91.8680,-217.4825,-223.2090,5.7265
B274,204.2709,-34.8560,-217.4825,-223.2090,5.7265
E257,-204.2709,-34.8560,-217.4825,-223.2090,5.7265
A257,-96.2735,183.5020,-217.4825,-223.2089,5.7264
A274,96.2735,183.5020,-217.4825,-223.2089,5.7264
B257,144.7706,148.2670,-217.4825,-223.2088,5.7263
E274,-144.7706,148.2670,-217.4825,-223.2088,5.7263
D232,0.0000,-207.2050,-217.4996,-223.2226,5.7230
C232,197.0641,-64.0300,-217.4996,-223.2223,5.7227
E232,-197.0641,-64.0300,-217.4996,-223.2223,5.7227
B232,121.7923,167.6330,-217.4996,-223.2221,5.7225
A232,-121.7923,167.6330,-217.4996,-223.2221,5.7225
C292,89.4746,-185.5430,-218.6503,-224.1203,5.4700
D286,-89.4746,-185.5430,-218.6503,-224.1203,5.4700
C286,148.8135,-142.4310,-218.6503,-224.1201,5.4698
D292,-148.8135,-142.4310,-218.6503,-224.1201,5.4698
A286,-36.6734,202.7000,-218.6503,-224.1198,5.4695
A292,36.6734,202.7000,-218.6503,-224.1198,5.4695
B292,204.1118,27.7600,-218.6503,-224.1197,5.4694
E286,-204.1118,27.7600,-218.6503,-224.1197,5.4694
B286,181.4464,97.5170,-218.6503,-224.1195,5.4692
E292,-181.4464,97.5170,-218.6503,-224.1195,5.4692
C273,39.9849,-201.2600,-219.3980,-224.7060,5.3080
D258,-39.9849,-201.2600,-219.3980,-224.7060,5.3080
C258,179.0543,-100.2200,-219.3980,-224.7058,5.3078
D273,-179.0543,-100.2200,-219.3980,-224.7058,5.3078
B273,203.7663,-24.1650,-219.3980,-224.7056,5.3076
E258,-203.7663,-24.1650,-219.3980,-224.7056,5.3076
B258,150.6465,139.3210,-219.3980,-224.7055,5.3075
E273,-150.6465,139.3210,-219.3980,-224.7055,5.3075
A258,-85.9496,186.3260,-219.3980,-224.7055,5.3075
A273,85.9496,186.3260,-219.3980,-224.7055,5.3075
C291,99.8355,-179.0640,-219.5653,-224.8372,5.2719
D287,-99.8355,-179.0640,-219.5653,-224.8372,5.2719
C287,139.4497,-150.2830,-219.5653,-224.8369,5.2716
D291,-139.4497,-150.2830,-219.5653,-224.8369,5.2716
B291,201.1514,39.6160,-219.5653,-224.8367,5.2714
E287,-201.1514,39.6160,-219.5653,-224.8367,5.2714
B287,186.0202,86.1850,-219.5653,-224.8366,5.2713
E291,-186.0202,86.1850,-219.5653,-224.8366,5.2713
A287,-24.4829,203.5490,-219.5653,-224.8362,5.2709
A291,24.4829,203.5490,-219.5653,-224.8362,5.2709
C253,10.0104,-204.1830,-220.1116,-225.2666,5.1550
D233,-10.0104,-204.1830,-220.1116,-225.2666,5.1550
C233,191.0965,-72.6160,-220.1116,-225.2665,5.1549
D253,-191.0965,-72.6160,-220.1116,-225.2665,5.1549
B253,197.2833,-53.5750,-220.1116,-225.2665,5.1549
E233,-197.2833,-53.5750,-220.1116,-225.2665,5.1549
B233,128.1146,159.3040,-220.1116,-225.2662,5.1546
E253,-128.1146,159.3040,-220.1116,-225.2662,5.1546
A233,-111.9174,171.0720,-220.1116,-225.2662,5.1546
A253,111.9174,171.0720,-220.1116,-225.2662,5.1546
C288,129.8539,-157.8840,-220.1148,-225.2693,5.1545
D290,-129.8539,-157.8840,-220.1148,-225.2693,5.1545
C290,110.0303,-172.2870,-220.1148,-225.2692,5.1544
D288,-110.0303,-172.2870,-220.1148,-225.2692,5.1544
B290,197.8563,51.4060,-220.1148,-225.2688,5.1540
E288,-197.8563,51.4060,-220.1148,-225.2688,5.1540
B288,190.2844,74.7100,-220.1148,-225.2687,5.1539
E290,-190.2844,74.7100,-220.1148,-225.2687,5.1539
